Razão Social,Fundo,Segmento,Código,Concat,,Ontem,Volume Atual,Variação Desde Ontem,Tendências
FDO INV IMOB - V2 PROPERTIES,FII V2 PROP,,VVPR,VVPR11,#N/A,"1,1",#N/A,#N/A,#N/A
FDO INV IMOB - VBI LOGÍSTICO,FII VBI LOG,,LVBI,LVBI11,"R$ 118,00",#N/A,10275,#N/A,
FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII,FII BARIGUI,,BARI,BARI11,"R$ 110,20","0,13",35551,#N/A,
FDO INV IMOB BB VOTORANTIM C JARD CONT TOWER,FII C JARDIM,,BBVJ,BBVJ11,"R$ 62,37",#N/A,22481,#N/A,
FDO INV IMOB BR HOTEIS - FII,FII BRHOTEIS,MB,BRHT,BRHT11,#N/A,#N/A,#N/A,#N/A,#N/A
FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS,FII ABSOLUTO,,BPFF,BPFF11,"R$ 111,38",#N/A,3767,#N/A,
FDO INV IMOB BRASIL VAREJO - FII,FII B VAREJO,,BVAR,BVAR11,"R$ 0,00",#N/A,0,#N/A,#N/A
FDO INV IMOB BTG PACTUAL SHOPPINGS,FII BTG SHOP,,BPML,BPML11,"R$ 120,20",#N/A,6,#N/A,
FDO INV IMOB CAIXA CEDAE,FII CX CEDAE,MB,CXCE,CXCE11,#N/A,#N/A,#N/A,#N/A,#N/A
FDO INV IMOB CAIXA TRX LOGÍSTICA RENDA,FII CX TRX,,CXTL,CXTL11,"R$ 390,00",#N/A,1,#N/A,
FDO INV IMOB CENTRO TEXTIL INTERNACIONAL,FII C TEXTIL,,CTXT,CTXT11,"R$ 59,60",#N/A,269,#N/A,
FDO INV IMOB CJ - FII,FII CJ,,CJFI,CJFI11,#N/A,#N/A,#N/A,#N/A,#N/A
FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA,FII S F LIMA,,FLMA,FLMA11,"R$ 5,08",#N/A,58656,#N/A,
FDO INV IMOB EDIFÍCIO OURINVEST,FII OURINVES,MB,EDFO,EDFO11,#N/A,#N/A,#N/A,#N/A,#N/A
FDO INV IMOB EUROPAR,FII EUROPAR,,EURO,EURO11,"R$ 189,50","0,05",105,#N/A,
FDO INV IMOB GENERAL SEVERIANO - FII,FII GEN SEV,MB,GESE,GESE11,#N/A,#N/A,#N/A,#N/A,#N/A
FDO INV IMOB GENERAL SHOPPING ATIVO E RENDA - FII,FII GEN SHOP,,FIGS,FIGS11,"R$ 71,97",#N/A,7167,#N/A,
FDO INV IMOB GRAND PLAZA SHOPPING,FII ABC IMOB,,ABCP,ABCP11,"R$ 101,16","0,3",1476,#N/A,
FDO INV IMOB GREEN TOWERS,FII G TOWERS,,GTWR,GTWR11,"R$ 109,97",#N/A,15412,#N/A,
FDO INV IMOB HABITAT I,FII HABITAT,,HBTT,HBTT11,"R$ 1.700,00",#N/A,1,#N/A,
