Razão Social,Fundo,Segmento,Código,Concat,,Ontem,Volume Atual,Variação Desde Ontem,Tendências
SP DOWNTOWN FDO INV IMOB - FII,FII SP DOWNT,,SPTW,SPTW11,"R$ 99,00",#N/A,9762,#N/A,
SPA FDO INV IMOB - FII,FII SPA,,SPAF,SPAF11,"R$ 0,00",#N/A,0,#N/A,#N/A
STARX FDO INV IMOB - FII,FII STARX,,STRX,STRX11,"R$ 15.816,00","142,26",0,#N/A,#N/A
SUPERNOVA FDO INV. IMOB. - RECEBÍVEIS IMOB.,FII SUPERNOV,,SNCR,SNCR11,#N/A,"4,58",#N/A,#N/A,#N/A
TRANSINC FDO INV IMOB - FII,FII TRANSINC,,TSNC,TSNC11,"R$ 0,00",#N/A,0,#N/A,#N/A
TREECORP REAL ESTATE FDO INV IMOB - I,FII TREECORP,,TCPF,TCPF11,"R$ 0,00",#N/A,0,#N/A,#N/A
TRX EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII,FII TRXE COR,,XTED,XTED11,"R$ 10,74",#N/A,10747,#N/A,
TRX REAL ESTATE FDO. INV. IMOB. - FII,FII TRX REAL,,TRXF,TRXF11,#N/A,#N/A,#N/A,#N/A,#N/A
V2 RENDA IMOBILIARIA FDO INV IMOB - FII,FII V2 RENDA,,V2CR,V2CR11,#N/A,#N/A,#N/A,#N/A,#N/A
VALORA RE III FDO INV IMOB - FII,FII VALREIII,,VGIR,VGIR11,"R$ 101,81",#N/A,18242,#N/A,
VECTIS JUROS REAL FDO INV. IMOB. - FII,FII VECTIS,,VCJR,VCJR11,#N/A,#N/A,#N/A,#N/A,#N/A
VECTOR QUELUZ ATIVOS IMOB FDO INV IMOB,FII VQ LAJES,,VLJS,VLJS11,"R$ 0,00",#N/A,0,#N/A,#N/A
VINCI INSTRUMENTOS FINANCEIROS FDO INV IMOB - FII,FII VINCI IF,MB,VIFI,VIFI11,#N/A,#N/A,#N/A,#N/A,#N/A
VINCI LOGÍSTICA FDO INV IMOB - FII,FII VINCILOG,,VILG,VILG11,"R$ 130,46",#N/A,20339,#N/A,
VINCI OFFICES FDO INV IMOB,FII VINC COR,,VINO,VINO11,"R$ 63,90","0,41",29194,#N/A,
VINCI SHOPPING CENTERS FDO INVEST IMOB - FII,FII VINCI SC,,VISC,VISC11,"R$ 137,00",#N/A,46320,#N/A,
VOTORANTIM SECURITIES MASTER FDO INV IMOB - FII,FII V MASTER,,VOTS,VOTS11,"R$ 85,31",#N/A,1,#N/A,
VX XVI - FDO INV. IMOB.,FII VX XVI,,VXXV,VXXV11,#N/A,#N/A,#N/A,#N/A,#N/A
XP CORPORATE MACAÉ FDO INV IMOB - FII,FII XP MACAE,,XPCM,XPCM11,"R$ 75,80",#N/A,23472,#N/A,
XP CREDITO IMOBILIÁRIO - FDO INV IMOB,FII XP CRED,,XPCI,XPCI11,#N/A,#N/A,#N/A,#N/A,#N/A
XP HOTÉIS - FDO INV IMOB - FII,FII XP HOT,,XPHT,XPHT11,"R$ 104,85",#N/A,115,#N/A,
XP INDUSTRIAL FDO INV IMOB - FII,FII XP INDL,,XPIN,XPIN11,"R$ 131,00",#N/A,6905,#N/A,
XP LOG FDO INV IMOB - FII,FII XP LOG,,XPLG,XPLG11,"R$ 125,60",#N/A,85689,#N/A,
XP MALLS FDO INV IMOB FII,FII XP MALLS,,XPML,XPML11,"R$ 123,00",#N/A,155361,#N/A,
XP PROPERTIES FDO. INV. IMOB.,FII XP PROP,,XPPR,XPPR11,#N/A,#N/A,#N/A,#N/A,#N/A
XP SELECTION FDO DE FUNDOS INV IMOB - FII,FII XP SELEC,,XPSF,XPSF11,#N/A,"497,9",#N/A,#N/A,#N/A
YAGUARA CAPITAL HIGH YIELD FDO INV IMOB,FII YAGUARA,,YCHY,YCHY11,"R$ 1.190,00",#N/A,2,#N/A,
